Domaine;Catégorie;Sous cat;Poste;sous poste;;;Sous poste nouveau;Poste nouveau
Achats et matières premières;Services;Prestations de services;Hébergement et restauration;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Produits agricoles et alimentation;Produits agricoles (production);Produits animaux;Production totale;;;Nourriture, repas, boissons;Intrants biens et matières
Achats et matières premières;Services;Prestations de services;Produits et matériaux;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Services;Prestations de services;Transports;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Services;Prestations de services;Services juridiques et financiers;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Services;Prestations de services;Télécommunications;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Achats et matières premières;Services;Prestations de services;Entreposage;Montant HT dépensé;;;Services en approche monétaire;Intrants services
Déchets;Déchets spéciaux;DAS (Déchets d'Activités de Soins);Incinération;Qantité totale;;;Déchets dangereux;Déchets
Déchets;Déchets banals;Autres;Textiles;Quantité totale;;;Autres déchets;Déchets
Déchets;Déchets banals;Organiques;Emissions évitées;Quantité totale;;;Émissions évitées;Déchets
Déchets;Déchets banals;Organiques;Incinération;Qantité totale;;;Déchets organiques;Déchets
Déchets;Déchets banals;Organiques;Moyenne;Qantité totale;;;Déchets organiques;Déchets
Déchets;Déchets banals;Organiques;Compost;Qantité totale;;;Déchets organiques;Déchets
Déchets;Déchets banals;Organiques;Stockage;Qantité totale;;;Déchets organiques;Déchets
Déchets;Déchets banals;Plastiques;Emissions évitées;Quantité totale;;;Émissions évitées;Déchets
Déchets;Déchets banals;Plastiques;Moyenne;Qantité totale;;;Déchets d'emballages et plastiques;Déchets
Déchets;Déchets banals;Plastiques;Recyclage;Qantité totale;;;Déchets d'emballages et plastiques;Déchets
Déchets;Déchets banals;Plastiques;Stockage;Qantité totale;;;Déchets d'emballages et plastiques;Déchets
Déchets;Déchets banals;Plastiques;Incinération;Qantité totale;;;Déchets d'emballages et plastiques;Déchets
Déchets;Déchets banals;Inertes (métaux, verre, gravats...);Emissions évitées;Quantité totale;;;Émissions évitées;Déchets
Déchets;Déchets banals;Inertes (métaux, verre, gravats...);Incinération;Qantité totale;;;Déchets matériaux & Déchets d'emballages et plastiques;Déchets
Déchets;Déchets banals;Inertes (métaux, verre, gravats...);Moyenne;Qantité totale;;;Déchets matériaux & Déchets d'emballages et plastiques;Déchets
Déchets;Déchets banals;Inertes (métaux, verre, gravats...);Recyclage;Qantité totale;;;Déchets matériaux & Déchets d'emballages et plastiques;Déchets
Déchets;Déchets banals;Ordures ménagères;Méthanisation;Quantité totale;;;Déchets ordure ménagères;Déchets
Déchets;Déchets banals;Ordures ménagères;Emissions évitées;Quantité totale;;;Émissions évitées;Déchets
Déchets;Déchets banals;Ordures ménagères;Moyenne;Qantité totale;;;Déchets ordure ménagères;Déchets
Déchets;Déchets banals;Ordures ménagères;Compost;Qantité totale;;;Déchets ordure ménagères;Déchets
Déchets;Déchets banals;Ordures ménagères;Stockage;Qantité totale;;;Déchets ordure ménagères;Déchets
Déchets;Déchets banals;Ordures ménagères;Incinération;Qantité totale;;;Déchets ordure ménagères;Déchets
Déchets;Déchets spéciaux;Déchets du bâtiment;Tous types;Quantité totale;;;Déchets dangereux;Déchets
Déchets;Eaux usées;Toutes catégories;Quantités rejetées;Qantité totale;;;Déchets eaux usées;Déchets
Déchets;Collectes et traitement;Traitement;Tous matériaux;Quantité totale;;;N/A;Déchets
Déchets;Collectes et traitement;Collecte;Tous matériaux;Quantité totale;;;N/A;Déchets
Déchets;Déchets banals;Inertes (métaux, verre, gravats...);Stockage;Qantité totale;;;Déchets matériaux & Déchets d'emballages et plastiques;Déchets
Déchets;Déchets spéciaux;Emballages;Tous types;Quantité totale;;;Déchets d'emballages et plastiques;Déchets
Déchets;Déchets spéciaux;DEA (Déchets d'Elément d'Ameublement);Tous types;Quantité totale;;;Autres déchets;Déchets
Déchets;Déchets spéciaux;DIS (Déchets Industriels Spéciaux);Stockage;Qantité totale;;;Déchets dangereux;Déchets
Déchets;Déchets spéciaux;DIS (Déchets Industriels Spéciaux);Incinération;Qantité totale;;;Déchets dangereux;Déchets
Déchets;Déchets spéciaux;DEEE;Emissions évitées;Quantité totale;;;Émissions évitées;Déchets
Déchets;Déchets spéciaux;DEEE;Tous types;Quantité totale;;;Autres déchets;Déchets
Déchets;Déchets spéciaux;Déchets dangereux;Toutes catégories;Qantité totale;;;Déchets dangereux;Déchets
Energie;Autre;Fossiles gazeux;Gaz naturel;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles gazeux;Butane / Propane;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles gazeux;Autres gaz;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Réseaux de froid;Tous réseaux;Consommation totale;;;Réseaux de froid;Energie
Energie;Autre;Fossiles liquides;Autres produits pétroliers;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles liquides;Bitumes;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles liquides;Combustibles haute viscosité;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles liquides;Fioul domestique;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles liquides;Fioul lourd;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles liquides;Gazole non routier;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles liquides;Huiles de schistes;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles liquides;Naphta;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles solides;Anthracite;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles solides;Charbon;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles solides;Houille;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles solides;Lignite;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Fossiles solides;Tourbe;Consommation totale;;;Combustibles fossiles;Energie
Energie;Autre;Réseaux chaleur;Tous réseaux;Consommation totale;;;Réseaux de chaleur et de vapeur;Energie
Energie;Process;Fossiles gazeux;Gaz naturel;Consommation totale;;;Combustibles fossiles;Energie
Energie;Bâtiments;Fossiles gazeux;Gaz naturel;Consommation totale;;;Combustibles fossiles;Energie
Energie;Bâtiments;Réseaux froid;Tous réseaux;Consommation totale;;;Réseaux de froid;Energie
Energie;Bâtiments;Réseaux chaleur;Tous réseaux;Consommation totale;;;Réseaux de chaleur et de vapeur;Energie
Energie;Bâtiments;Fossiles solides;Charbon;Consommation totale;;;Combustibles fossiles;Energie
Energie;Bâtiments;Fossiles liquides;Autres produits pétroliers;Consommation totale;;;Combustibles fossiles;Energie
Energie;Bâtiments;Fossiles liquides;Fioul domestique;Consommation totale;;;Combustibles fossiles;Energie
Energie;Bâtiments;Fossiles gazeux;Autres gaz;Consommation totale;;;Combustibles fossiles;Energie
Energie;Bâtiments;Fossiles gazeux;Butane / Propane;Consommation totale;;;Combustibles fossiles;Energie
Energie;Bâtiments;Electricité - Production;Sources non renouvelables;Production totale;;;Electricité;Energie
Energie;Bâtiments;Electricité - Production;Sources renouvelables;Production totale;;;Electricité;Energie
